_id,text,optionA,optionB,count
LeaSt4mdpmC6npnHG,Your fart....?,Stinks!,Good!,"{""A"":20,""B"":38}"
xFqSRCcfXFjjvnKZ2,?,Team Cap,Team Ironman,"{""A"":203,""B"":272}"
X5APqdYtDz5KxJH7f,Cops?,Save us,Leave us alone,"{""A"":153,""B"":159}"
vmd2vQAnH5pGN5nJG,?,Boxers,Briefs,"{""A"":87,""B"":89}"
hvzsy7sBf8JSgHKcu,Homeless?,Help them,Get away,"{""A"":174,""B"":89}"
ZJxSzJph2LE6inHwg,Gluten Free?,Faking it,Real,"{""A"":365,""B"":373}"
vdWxGzLyEnkgL8Xv5,?,Small Cap,Large Cap,"{""A"":12,""B"":21}"
EZuoG6PaDLs8uiE35,refugees?,keep in,kick out,"{""A"":486,""B"":160}"
owpZkcaTTbM5yGEdd,are you tired,yes,no,"{""A"":66,""B"":210}"
CpobSvi2XMA9pLge3,?,cash,honeys,"{""A"":4,""B"":5}"
LH8obov9g2jn4xPrE,?,women,men,"{""A"":1,""B"":1}"
gBDirbvqR2cnpDuXr,?,rich,poor,"{""A"":2,""B"":7}"
B4jDTkB3bj28hoKzN,Best Star Wars?,prequel,original,"{""A"":204,""B"":646}"
AGwDAaCLN2fXn778N,?,Marvel,DC,"{""A"":311,""B"":173}"
BqkYrLifXqfzXod8C,?,Big Mac,Whopper,"{""A"":142,""B"":162}"
b7vqhek5JJa6mEDdm,Who would win?,Hulk,Thor,"{""A"":118,""B"":121}"
TqPKfipzAcY8vz7q5,?,Nike,Adidas,"{""A"":169,""B"":148}"
dc7wjni3MG44XSTib,?,PlayStation,Xbox,"{""A"":87,""B"":100}"
FHQ5hH6A2jnshZ9S8,?,baseball,football,"{""A"":136,""B"":190}"
LZCSpQCgiaiteuaKd,Best coffee?,hot,iced,"{""A"":115,""B"":148}"
ELJxiSALznMC3kx8t,?,football,soccer,"{""A"":202,""B"":352}"
gHsZ4cj2TP4i3QwBF,?,Trump,Hitler,"{""A"":30,""B"":27}"
Sc77Q5PCZjg832CWf,Is virtue its own reward?,Yes,No,"{""A"":157,""B"":179}"
9fYMqjMAJsbjGvYne,?,Uber,Lyft,"{""A"":329,""B"":346}"
t6aqneCpg4wNCJQ7w,?,VR,AR,"{""A"":164,""B"":188}"
RJWrAWsXWZ55JkSL3,?,U2,Rihanna,"{""A"":181,""B"":153}"
BvopmN6MBMADwyR3A,Why vote?,Democracy,Hypocrisy,"{""A"":106,""B"":96}"
w3FPzq2TfH5h6zj2A,meat?,murder,delicious,"{""A"":155,""B"":339}"
ZJQxkgxM4Fh6grBLj,?,star wars,star trek,"{""A"":484,""B"":266}"
HG4uaQPuhgBCeDMWv,gentrification?,revival,oppression,"{""A"":115,""B"":109}"
LnxtxaT6yk9dSgHfa,Pokemon Go?,Lovely,Annoying,"{""A"":192,""B"":254}"
zL4PvMjzyDmDKyCrx,Best team in the Bay?,Raiders,49ers,"{""A"":158,""B"":296}"
LQSYEP3aXXsokKtGb,Did you visit the Asian art museum today?,Yes,No,"{""A"":45,""B"":66}"
63wNvoJXnmFacbomd,give flowers to loved one?,Yes,No,"{""A"":103,""B"":80}"
9MeqtY35kL5YT8k5T,More programs in civic center?,Yes,no,"{""A"":44,""B"":23}"
MZ5QtaSxgonppBYm9,Do you love yourself?,yes,no,"{""A"":211,""B"":106}"
2rJA2ZthvJfuhoE6W,Have you hugged a friend today?,Yes,No,"{""A"":262,""B"":162}"
wpFuJxW7HrFg7wNYy,?,badass,nice ass,"{""A"":288,""B"":306}"
2FbZqoEDD7fsFBhmJ,Are you a leader or a follower?,Leader,Follower,"{""A"":245,""B"":175}"
GHgMir2gLMTD4YxWo,Musicals?,Terrific,Terrible,"{""A"":202,""B"":125}"
BisoWka3JSjnNzZJs,?,Human,Robot,"{""A"":155,""B"":173}"
pkejnaqEvq48KuaF8,Primary methodological approach,Quantitative,Qualitative,"{""A"":25,""B"":45}"
j5J4kjKckMJD4R3nJ,Likert items are unintentionally misleading?,Agree,Strongly Agree,"{""A"":12,""B"":2}"
967Gb4n7iSDy8byS3,Novelty or Reproducibility?,Novelty,Reproducibility,"{""A"":22,""B"":13}"
k45tMC8i5fksz5qYa,Functional or imperative programming?,Functional,Imperative,"{""A"":96,""B"":49}"
rymkhYRCDei26p33q,You favorite?,Chris Harrison,Scott Hudson,"{""A"":16,""B"":18}"
hwtm43DJg7QqaSG2R,CHI,not really,impactful,"{""A"":27,""B"":19}"
Hg79KSZGCJ4unZm8w,CHI,meet friends,papers,"{""A"":37,""B"":16}"
kRD6eKqNFwfqYjEzf,?,bear,chinosaur,"{""A"":70,""B"":57}"
Ab835dYJXWpx7xyTB,CHI,paper read,drinks had,"{""A"":13,""B"":15}"
i3bZ6cjJTvNkxmufr,CHI,significant,inspirational,"{""A"":31,""B"":38}"
vAcRfxH5iDioZ5ZBX,?,thad starner,steve mann,"{""A"":16,""B"":17}"
nzxqK3PHZDMmfqAPt,Do you know how this works?,no,yes,"{""A"":124,""B"":136}"
HmpJLbaouRnqsTr5F,?,JRR Tolkien,CS Lewis,"{""A"":176,""B"":109}"
K6kuBFTycTrSRSiv5,?,heels,flats,"{""A"":82,""B"":203}"
YxXZsLboTg8fdHvoE,Do non-human objects have agency?,No,Yes,"{""A"":1,""B"":5}"
vHAudMXdxqEsFNANh,Maker Faire,Awesome,Boring,"{""A"":295,""B"":160}"
YcAyxQg4QJZbkAgg7,?,mac,windows,"{""A"":176,""B"":176}"
XKAxdAvwqd78hqLB7,?,boba tea,icecream,"{""A"":109,""B"":114}"
SymZ6oyHqqXNiqQvS,?,hotdog,not hotdog,"{""A"":168,""B"":87}"
o2crRNrntyhFaZkPb,?,beer,wine,"{""A"":83,""B"":72}"
